import time: self [us] | cumulative | imported package
import time:        75 |         75 |   _io
import time:        13 |         13 |   marshal
import time:       142 |        142 |   posix
import time:       166 |        395 | _frozen_importlib_external
import time:       574 |        574 |   time
import time:       121 |        694 | zipimport
import time:        23 |         23 |     _codecs
import time:       152 |        175 |   codecs
import time:       451 |        451 |   encodings.aliases
import time:       531 |       1156 | encodings
import time:       229 |        229 | encodings.utf_8
import time:        37 |         37 | _signal
import time:        12 |         12 |     _abc
import time:        59 |         70 |   abc
import time:        74 |        144 | io
import time:        18 |         18 |       _stat
import time:        27 |         44 |     stat
import time:       326 |        326 |     _collections_abc
import time:        17 |         17 |       genericpath
import time:        24 |         41 |     posixpath
import time:       130 |        540 |   os
import time:        33 |         33 |   _sitebuiltins
import time:       491 |        491 |   _distutils_hack
import time:       282 |        282 |         types
import time:        66 |         66 |           _operator
import time:       277 |        343 |         operator
import time:        71 |         71 |             itertools
import time:       174 |        174 |             keyword
import time:       209 |        209 |             reprlib
import time:        23 |         23 |             _collections
import time:       461 |        936 |           collections
import time:        21 |         21 |           _functools
import time:       392 |       1348 |         functools
import time:       810 |       2782 |       enum
import time:        33 |         33 |         _sre
import time:       343 |        343 |           re._constants
import time:       738 |       1081 |         re._parser
import time:       222 |        222 |         re._casefix
import time:       319 |       1654 |       re._compiler
import time:       176 |        176 |       copyreg
import time:       445 |       5054 |     re
import time:       536 |       5589 |   sitecustomize
import time:       689 |       7341 | site
import time:       206 |        206 |     mediapipe.tasks
import time:       150 |        150 |       mediapipe.tasks.python.audio.core
import time:       712 |        712 |           _ctypes
import time:       285 |        285 |             _struct
import time:       215 |        500 |           struct
import time:       257 |        257 |           ctypes._endian
import time:       491 |       1958 |         ctypes
import time:       218 |        218 |               _weakrefset
import time:       366 |        583 |             weakref
import time:        36 |         36 |                 org
import time:         7 |         43 |               org.python
import time:         7 |         49 |             org.python.core
import time:       227 |        857 |           copy
import time:       454 |        454 |               _ast
import time:       416 |        416 |               contextlib
import time:       609 |       1478 |             ast
import time:       201 |        201 |                 _opcode
import time:       297 |        498 |               opcode
import time:       488 |        986 |             dis
import time:       226 |        226 |             collections.abc
import time:       252 |        252 |                 warnings
import time:       175 |        426 |               importlib
import time:        25 |        451 |             importlib.machinery
import time:       173 |        173 |                 token
import time:       504 |        677 |               tokenize
import time:       174 |        851 |             linecache
import time:       837 |       4826 |           inspect
import time:       403 |       6085 |         dataclasses
import time:       405 |        405 |           _typing
import time:      1181 |       1585 |         typing
import time:       405 |        405 |           threading
import time:       200 |        200 |             numpy.version
import time:       146 |        146 |             numpy._expired_attrs_2_0
import time:       161 |        161 |                 numpy._utils._convertions
import time:       353 |        514 |               numpy._utils
import time:       252 |        766 |             numpy._globals
import time:        12 |         12 |               numpy._distributor_init_local
import time:       116 |        127 |             numpy._distributor_init
import time:       803 |        803 |                         math
import time:       323 |        323 |                         _datetime
import time:       591 |       1717 |                       datetime
import time:       212 |        212 |                       numpy.exceptions
import time:       263 |        263 |                       numpy._core._exceptions
import time:       364 |        364 |                           _contextvars
import time:       140 |        504 |                         contextvars
import time:       137 |        640 |                       numpy._core.printoptions
import time:       128 |        128 |                       numpy.dtypes
import time:      2313 |       5272 |                     numpy._core._multiarray_umath
import time:       166 |        166 |                       numpy._utils._inspect
import time:       250 |        415 |                     numpy._core.overrides
import time:       859 |       6545 |                   numpy._core.multiarray
import time:       208 |        208 |                   numpy._core.umath
import time:       276 |        276 |                     numbers
import time:       176 |        176 |                     numpy._core._dtype
import time:       130 |        130 |                     numpy._core._string_helpers
import time:       219 |        219 |                     numpy._core._type_aliases
import time:       245 |       1043 |                   numpy._core.numerictypes
import time:       315 |        315 |                               _compat_pickle
import time:       479 |        479 |                               _pickle
import time:        51 |         51 |                                   org
import time:         7 |         57 |                                 org.python
import time:         7 |         64 |                               org.python.core
import time:       621 |       1478 |                             pickle
import time:       148 |       1626 |                           numpy._core._methods
import time:       673 |       2298 |                         numpy._core.fromnumeric
import time:       253 |       2550 |                       numpy._core.shape_base
import time:       234 |        234 |                       numpy._core._ufunc_config
import time:        96 |         96 |                       numpy._core._asarray
import time:       423 |        423 |                       numpy._core.arrayprint
import time:       514 |       3816 |                     numpy._core.numeric
import time:       726 |       4542 |                   numpy._core.einsumfunc
import time:       481 |        481 |                   numpy._core.function_base
import time:       181 |        181 |                   numpy._core.getlimits
import time:       170 |        170 |                   numpy._core.memmap
import time:       247 |        247 |                   numpy._core.records
import time:       501 |        501 |                     textwrap
import time:      2618 |       3118 |                   numpy._core._add_newdocs
import time:       428 |        428 |                   numpy._core._add_newdocs_scalars
import time:       152 |        152 |                   numpy._core._dtype_ctypes
import time:       383 |        383 |                   numpy._core._internal
import time:       143 |        143 |                   numpy._pytesttester
import time:       229 |      17867 |                 numpy._core
import time:         8 |      17874 |               numpy._core._multiarray_umath
import time:       182 |      18056 |             numpy.__config__
import time:       143 |        143 |                               numpy._typing._nbit_base
import time:       218 |        218 |                               numpy._typing._nested_sequence
import time:       131 |        131 |                               numpy._typing._shape
import time:      1674 |       2165 |                             numpy._typing._array_like
import time:       643 |        643 |                             numpy._typing._char_codes
import time:      1251 |       1251 |                             numpy._typing._dtype_like
import time:       114 |        114 |                             numpy._typing._nbit
import time:       166 |        166 |                             numpy._typing._scalars
import time:       499 |        499 |                             numpy._typing._ufunc
import time:       134 |       4970 |                           numpy._typing
import time:       180 |        180 |                             numpy.lib._stride_tricks_impl
import time:       279 |        458 |                           numpy.lib._twodim_base_impl
import time:       136 |        136 |                             numpy.lib._array_utils_impl
import time:       129 |        264 |                           numpy.lib.array_utils
import time:       744 |        744 |                           numpy.linalg._umath_linalg
import time:       784 |       7219 |                         numpy.linalg._linalg
import time:       151 |       7369 |                       numpy.linalg
import time:       343 |       7711 |                     numpy.matrixlib.defmatrix
import time:       157 |       7867 |                   numpy.matrixlib
import time:       250 |        250 |                     numpy.lib._histograms_impl
import time:       589 |        839 |                   numpy.lib._function_base_impl
import time:       300 |       9005 |                 numpy.lib._index_tricks_impl
import time:       311 |       9316 |               numpy.lib._arraypad_impl
import time:       406 |        406 |               numpy.lib._arraysetops_impl
import time:       172 |        172 |               numpy.lib._arrayterator_impl
import time:       356 |        356 |               numpy.lib._nanfunctions_impl
import time:       792 |        792 |                       platform
import time:       203 |        994 |                     numpy.lib._utils_impl
import time:       196 |       1190 |                   numpy.lib._format_impl
import time:       144 |       1334 |                 numpy.lib.format
import time:       260 |        260 |                 numpy.lib._datasource
import time:       280 |        280 |                 numpy.lib._iotools
import time:       441 |       2314 |               numpy.lib._npyio_impl
import time:       161 |        161 |                   numpy.lib._ufunclike_impl
import time:       232 |        393 |                 numpy.lib._type_check_impl
import time:       329 |        722 |               numpy.lib._polynomial_impl
import time:       285 |        285 |               numpy.lib._shape_base_impl
import time:       162 |        162 |               numpy.lib._version
import time:       178 |        178 |               numpy.lib.introspect
import time:       244 |        244 |               numpy.lib.mixins
import time:       127 |        127 |               numpy.lib.npyio
import time:       245 |        245 |                 numpy.lib._scimath_impl
import time:       130 |        374 |               numpy.lib.scimath
import time:       124 |        124 |               numpy.lib.stride_tricks
import time:       329 |      15103 |             numpy.lib
import time:       173 |        173 |             numpy._array_api_info
import time:       828 |      35394 |           numpy
import time:        15 |         15 |             atexit
import time:       173 |        173 |                 fnmatch
import time:        19 |         19 |                 errno
import time:       328 |        328 |                 zlib
import time:       177 |        177 |                   _compression
import time:       324 |        324 |                   _bz2
import time:       245 |        745 |                 bz2
import time:       518 |        518 |                   _lzma
import time:       281 |        799 |                 lzma
import time:       496 |       2557 |               shutil
import time:        22 |         22 |                   _locale
import time:       467 |        489 |                 locale
import time:       396 |        396 |                 signal
import time:       460 |        460 |                 fcntl
import time:        32 |         32 |                 msvcrt
import time:       489 |        489 |                 _posixsubprocess
import time:       537 |        537 |                 select
import time:       380 |        380 |                 selectors
import time:       432 |       3212 |               subprocess
import time:       142 |        142 |                 ctypes.macholib
import time:       224 |        224 |                 ctypes.macholib.framework
import time:       171 |        171 |                 ctypes.macholib.dylib
import time:       178 |        713 |               ctypes.macholib.dyld
import time:       593 |       7075 |             ctypes.util
import time:       530 |        530 |               _cffi_backend
import time:       170 |        700 |             _sounddevice
import time:       189 |        189 |             _sounddevice_data
import time:     64338 |      72315 |           sounddevice
import time:       359 |     108472 |         mediapipe.tasks.python.audio.core.audio_record
import time:       561 |        561 |             mediapipe.tasks.python.core
import time:       232 |        232 |                 tensorflow
import time:        28 |        260 |               tensorflow.tools
import time:        28 |        287 |             tensorflow.tools.docs
import time:       619 |       1466 |           mediapipe.tasks.python.core.optional_dependencies
import time:      2904 |       4369 |         mediapipe.tasks.python.audio.core.audio_task_running_mode
import time:      2759 |       2759 |           mediapipe.tasks.python.components
import time:       589 |        589 |             mediapipe.tasks.python.components.containers.audio_data_c
import time:      2155 |       2743 |           mediapipe.tasks.python.components.containers.audio_data
import time:      2178 |       2178 |             mediapipe.tasks.python.components.containers.rect_c
import time:      8363 |      10541 |           mediapipe.tasks.python.components.containers.bounding_box
import time:       606 |        606 |             mediapipe.tasks.python.components.containers.category_c
import time:       711 |       1317 |           mediapipe.tasks.python.components.containers.category
import time:       215 |        215 |             mediapipe.tasks.python.components.containers.classification_result_c
import time:       773 |        987 |           mediapipe.tasks.python.components.containers.classification_result
import time:       172 |        172 |               mediapipe.tasks.python.components.containers.keypoint_c
import time:       177 |        349 |             mediapipe.tasks.python.components.containers.detections_c
import time:       531 |        531 |             mediapipe.tasks.python.components.containers.keypoint
import time:       429 |       1309 |           mediapipe.tasks.python.components.containers.detections
import time:       137 |        137 |             mediapipe.tasks.python.components.containers.embedding_result_c
import time:       575 |        711 |           mediapipe.tasks.python.components.containers.embedding_result
import time:       274 |        274 |             mediapipe.tasks.python.components.containers.landmark_c
import time:       523 |        796 |           mediapipe.tasks.python.components.containers.landmark
import time:       619 |        619 |             mediapipe.tasks.python.components.containers.rect
import time:       259 |        877 |           mediapipe.tasks.python.components.containers.landmark_detection_result
import time:       772 |      22807 |         mediapipe.tasks.python.components.containers
import time:       501 |        501 |           mediapipe.tasks.python.components.processors.classifier_options
import time:       129 |        630 |         mediapipe.tasks.python.components.processors
import time:       136 |        136 |         mediapipe.tasks.python.components.processors.classifier_options_c
import time:       967 |        967 |             traceback
import time:        21 |         21 |               _string
import time:       689 |        709 |             string
import time:      2127 |       3802 |           logging
import time:       809 |        809 |               _heapq
import time:       272 |       1081 |             heapq
import time:       765 |        765 |             _queue
import time:       362 |       2207 |           queue
import time:       192 |        192 |               concurrent
import time:       539 |        539 |               concurrent.futures._base
import time:       264 |        995 |             concurrent.futures
import time:       860 |       1854 |           mediapipe.tasks.python.core.mediapipe_c_utils
import time:      4568 |      12430 |         mediapipe.tasks.python.core.async_result_dispatcher
import time:        42 |         42 |                       _winapi
import time:        35 |         35 |                       nt
import time:        35 |         35 |                       nt
import time:        33 |         33 |                       nt
import time:        29 |         29 |                       nt
import time:        29 |         29 |                       nt
import time:        47 |        248 |                     ntpath
import time:       187 |        187 |                       urllib
import time:       692 |        692 |                       ipaddress
import time:       618 |       1496 |                     urllib.parse
import time:       530 |       2274 |                   pathlib
import time:       482 |        482 |                         _bisect
import time:       142 |        623 |                       bisect
import time:       749 |        749 |                       _random
import time:       458 |        458 |                       _sha512
import time:       337 |       2166 |                     random
import time:       840 |       3005 |                   tempfile
import time:       269 |        269 |                   importlib.resources.abc
import time:       258 |        258 |                   importlib.resources._adapters
import time:       209 |       6013 |                 importlib.resources._common
